Start Time,End Time,Transcription
0.0,5.0,
5.0,10.0,
10.0,15.0,
15.0,20.0,
20.0,25.0,hi
25.0,30.0,I am afraid to talk to people in a safe and Secure environment
30.0,35.0,
35.0,40.0,
40.0,45.0,
45.0,50.0,I am fine tired
50.0,55.0,sorry I am
55.0,60.0,
60.0,65.0,on the places
65.0,70.0,there is a girl there is always things to do here
70.0,75.0,Om Travels
75.0,80.0,I am trying to audio
80.0,85.0,working with music
85.0,90.0,abhi graduating in about 2 years
90.0,95.0,working in a recording
95.0,100.0,how are you doing soundtracks music or
100.0,105.0,
105.0,110.0,
110.0,115.0,Nani
115.0,120.0,just an home
120.0,125.0,Rama bike make music set a home watch movies
125.0,130.0,
130.0,135.0,drivers people
135.0,140.0,Gangster song
140.0,145.0,call Rana bike take a walk
145.0,150.0,period I don't get angry
150.0,155.0,
155.0,160.0,
160.0,165.0,my girlfriend she didn't want
165.0,170.0,my friends house and what happened what happened
170.0,175.0,
175.0,180.0,I am saying make music Rama
180.0,185.0,hi all friends just no
185.0,190.0,
190.0,195.0,with my mum right now but I do live with my dad so
195.0,200.0,
200.0,205.0,let's see
205.0,210.0,which people yes I can really pick one right now
210.0,215.0,
215.0,220.0,
220.0,225.0,
225.0,230.0,
230.0,235.0,can I use status video so high
235.0,240.0,my fault that I don't go to sleep early and then I wake up early afternoon
240.0,245.0,convert
245.0,250.0,the same resource
250.0,255.0,I'm sorry
255.0,260.0,I am fine happy normal
260.0,265.0,Sam
265.0,270.0,my birthday I was
270.0,275.0,oh my god song
275.0,280.0,can I gift my girlfriend on speaker
280.0,285.0,Aam ko
285.0,290.0,
290.0,295.0,active
295.0,300.0,the
300.0,305.0,music that I make
305.0,310.0,couple things can never mind now
310.0,315.0,things that in high school
315.0,320.0,
320.0,325.0,say what I say
325.0,330.0,
330.0,335.0,sense ko
335.0,340.0,
340.0,345.0,how are you now
345.0,350.0,
350.0,355.0,
355.0,360.0,
360.0,365.0,watch movies on my dad yeah yesterday
365.0,370.0,say how much movie is made some food
370.0,375.0,
375.0,380.0,
380.0,385.0,
385.0,390.0,
390.0,395.0,i10
395.0,400.0,
400.0,405.0,
405.0,410.0,take a crazy
410.0,414.8,
